sem_1,creds_gen_sem_1,creds_hm_sem_1,sem_2,creds_gen_sem_2,creds_hm_sem_2,sem_3,creds_gen_sem_3,creds_hm_sem_3
Abstracta;Analisis numerico;Analisis real;Ecuaciones diferenciales;Electiva general;Seminario de grado,3,0,Analisis estadistico;Cornerstone;Fisica;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Geometria computacional;Keystone;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Analisis numerico;Analisis real;Cornerstone;Ecuaciones diferenciales;Electiva general;Fisica;Seminario de grado,3,0,Abstracta;Geometria computacional;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis estadistico;Capstone;Keystone;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Abstracta;Analisis estadistico;Analisis numerico;Ecuaciones diferenciales;Fisica;Seminario de grado,0,0,Analisis real;Cornerstone;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Electiva general;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis real;Cornerstone;Ecuaciones diferenciales;Electiva general;Geometria computacional;Seminario de grado,3,0,Analisis estadistico;Fisica;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Abstracta;Analisis numerico;Capstone;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Abstracta;Analisis estadistico;Ecuaciones diferenciales;Fisica;Geometria computacional;Seminario de grado,0,0,Analisis real;Cornerstone;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis estadistico;Cornerstone;Ecuaciones diferenciales;Electiva general;Keystone;Seminario de grado,3,0,Abstracta;Analisis real;Fisica;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Analisis estadistico;Analisis numerico;Cornerstone;Ecuaciones diferenciales;Fisica;Seminario de grado,0,0,Abstracta;Analisis real;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Electiva general;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis estadistico;Analisis numerico;Ecuaciones diferenciales;Electiva general;Keystone;Seminario de grado,3,0,Abstracta;Analisis real;Cornerstone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Fisica;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Abstracta;Analisis numerico;Cornerstone;Ecuaciones diferenciales;Fisica;Seminario de grado,0,0,Analisis estadistico;Analisis real;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Electiva general;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis real;Cornerstone;Ecuaciones diferenciales;Electiva general;Fisica;Seminario de grado,3,0,Abstracta;Analisis estadistico;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Analisis estadistico;Analisis numerico;Analisis real;Cornerstone;Ecuaciones diferenciales;Fisica;Seminario de grado,0,0,Abstracta;Geometria computacional;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Electiva general;Keystone;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis estadistico;Analisis numerico;Ecuaciones diferenciales;Geometria computacional;Keystone;Seminario de grado,0,0,Analisis real;Cornerstone;Fisica;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Abstracta;Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis estadistico;Analisis numerico;Cornerstone;Ecuaciones diferenciales;Keystone;Seminario de grado,0,0,Abstracta;Analisis real;Fisica;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Electiva general;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis estadistico;Analisis numerico;Analisis real;Ecuaciones diferenciales;Fisica;Keystone;Seminario de grado,0,0,Abstracta;Geometria computacional;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Cornerstone;Electiva general;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Abstracta;Analisis numerico;Ecuaciones diferenciales;Geometria computacional;Seminario de grado,0,0,Analisis estadistico;Analisis real;Cornerstone;Fisica;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Electiva general;Keystone;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Abstracta;Ecuaciones diferenciales;Electiva general;Fisica;Keystone;Seminario de grado,3,0,Analisis estadistico;Analisis real;Cornerstone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Abstracta;Analisis real;Ecuaciones diferenciales;Electiva general;Fisica;Seminario de grado,3,0,Analisis estadistico;Cornerstone;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Analisis estadistico;Cornerstone;Ecuaciones diferenciales;Electiva general;Fisica;Seminario de grado,3,0,Abstracta;Analisis real;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Abstracta;Analisis numerico;Ecuaciones diferenciales;Electiva general;Geometria computacional;Seminario de grado,3,0,Analisis real;Cornerstone;Fisica;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis estadistico;Capstone;Keystone;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Abstracta;Analisis estadistico;Ecuaciones diferenciales;Geometria computacional;Seminario de grado,0,0,Analisis real;Cornerstone;Fisica;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis estadistico;Analisis numerico;Cornerstone;Ecuaciones diferenciales;Fisica;Keystone;Seminario de grado,0,0,Abstracta;Analisis real;Geometria computacional;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis estadistico;Cornerstone;Ecuaciones diferenciales;Electiva general;Geometria computacional;Seminario de grado,3,0,Analisis real;Fisica;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Abstracta;Analisis numerico;Capstone;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Analisis estadistico;Analisis real;Ecuaciones diferenciales;Electiva general;Fisica;Keystone;Seminario de grado,3,0,Abstracta;Geometria computacional;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Cornerstone;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Abstracta;Analisis estadistico;Cornerstone;Ecuaciones diferenciales;Geometria computacional;Seminario de grado,0,0,Analisis real;Fisica;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis numerico;Analisis real;Cornerstone;Ecuaciones diferenciales;Electiva general;Seminario de grado,3,0,Abstracta;Analisis estadistico;Fisica;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Geometria computacional;Keystone;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Abstracta;Ecuaciones diferenciales;Fisica;Geometria computacional;Seminario de grado,0,0,Analisis estadistico;Analisis real;Cornerstone;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis real;Ecuaciones diferenciales;Electiva general;Fisica;Keystone;Seminario de grado,3,0,Abstracta;Analisis estadistico;Cornerstone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Abstracta;Analisis real;Ecuaciones diferenciales;Fisica;Geometria computacional;Seminario de grado,0,0,Analisis estadistico;Cornerstone;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Abstracta;Ecuaciones diferenciales;Electiva general;Fisica;Geometria computacional;Seminario de grado,3,0,Analisis estadistico;Analisis real;Cornerstone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Keystone;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Analisis estadistico;Analisis numerico;Cornerstone;Ecuaciones diferenciales;Electiva general;Fisica;Seminario de grado,3,0,Abstracta;Analisis real;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Analisis estadistico;Analisis real;Ecuaciones diferenciales;Fisica;Keystone;Seminario de grado,0,0,Abstracta;Cornerstone;Modelacion sis. dinamicos;Opcion de grado 1;Topologia,0,0,Analisis numerico;Capstone;Electiva general;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2,3,0
Analisis estadistico;Analisis numerico;Cornerstone;Ecuaciones diferenciales;Electiva general;Keystone;Seminario de grado,3,0,Abstracta;Analisis real;Fisica;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Abstracta;Analisis numerico;Ecuaciones diferenciales;Fisica;Keystone;Seminario de grado,0,0,Analisis estadistico;Analisis real;Cornerstone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Electiva general;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis estadistico;Analisis numerico;Analisis real;Ecuaciones diferenciales;Keystone;Seminario de grado,0,0,Abstracta;Cornerstone;Fisica;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Electiva general;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis real;Cornerstone;Ecuaciones diferenciales;Geometria computacional;Keystone;Seminario de grado,0,0,Analisis estadistico;Fisica;Modelacion sis. dinamicos;Opcion de grado 1;Topologia,0,0,Abstracta;Analisis numerico;Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 2,3,0
Analisis numerico;Analisis real;Cornerstone;Ecuaciones diferenciales;Electiva general;Keystone;Seminario de grado,3,0,Abstracta;Geometria computacional;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis estadistico;Capstone;Fisica;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Analisis estadistico;Analisis numerico;Ecuaciones diferenciales;Electiva general;Fisica;Keystone;Seminario de grado,3,0,Abstracta;Analisis real;Cornerstone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Analisis numerico;Analisis real;Cornerstone;Ecuaciones diferenciales;Keystone;Seminario de grado,0,0,Abstracta;Analisis estadistico;Fisica;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Electiva general;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis estadistico;Cornerstone;Ecuaciones diferenciales;Electiva general;Fisica;Keystone;Seminario de grado,3,0,Abstracta;Analisis numerico;Analisis real;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Analisis estadistico;Analisis real;Ecuaciones diferenciales;Electiva general;Keystone;Seminario de grado,3,0,Abstracta;Cornerstone;Fisica;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Abstracta;Analisis numerico;Analisis real;Ecuaciones diferenciales;Geometria computacional;Seminario de grado,0,0,Analisis estadistico;Cornerstone;Fisica;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Electiva general;Keystone;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Abstracta;Cornerstone;Ecuaciones diferenciales;Electiva general;Fisica;Seminario de grado,3,0,Analisis estadistico;Analisis real;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Abstracta;Analisis estadistico;Cornerstone;Ecuaciones diferenciales;Keystone;Seminario de grado,0,0,Analisis numerico;Analisis real;Fisica;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Electiva general;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis numerico;Cornerstone;Ecuaciones diferenciales;Electiva general;Fisica;Keystone;Seminario de grado,3,0,Abstracta;Analisis estadistico;Analisis real;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Analisis estadistico;Analisis numerico;Analisis real;Cornerstone;Ecuaciones diferenciales;Seminario de grado,0,0,Abstracta;Fisica;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Electiva general;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Abstracta;Analisis estadistico;Analisis numerico;Analisis real;Ecuaciones diferenciales;Seminario de grado,0,0,Cornerstone;Fisica;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Electiva general;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis estadistico;Cornerstone;Ecuaciones diferenciales;Fisica;Keystone;Seminario de grado,0,0,Abstracta;Analisis numerico;Analisis real;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Electiva general;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Abstracta;Analisis estadistico;Analisis numerico;Ecuaciones diferenciales;Keystone;Seminario de grado,0,0,Analisis real;Cornerstone;Fisica;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Electiva general;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis estadistico;Ecuaciones diferenciales;Electiva general;Fisica;Keystone;Seminario de grado,3,0,Abstracta;Analisis real;Cornerstone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Analisis real;Ecuaciones diferenciales;Electiva general;Fisica;Geometria computacional;Seminario de grado,3,0,Analisis estadistico;Cornerstone;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Abstracta;Analisis numerico;Capstone;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Analisis numerico;Analisis real;Cornerstone;Ecuaciones diferenciales;Geometria computacional;Seminario de grado,0,0,Analisis estadistico;Fisica;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Abstracta;Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis real;Cornerstone;Ecuaciones diferenciales;Electiva general;Fisica;Keystone;Seminario de grado,3,0,Abstracta;Geometria computacional;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis estadistico;Analisis numerico;Capstone;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Abstracta;Cornerstone;Ecuaciones diferenciales;Geometria computacional;Seminario de grado,0,0,Analisis estadistico;Analisis real;Fisica;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis estadistico;Analisis real;Cornerstone;Ecuaciones diferenciales;Electiva general;Seminario de grado,3,0,Abstracta;Fisica;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Analisis estadistico;Analisis real;Cornerstone;Ecuaciones diferenciales;Fisica;Keystone;Seminario de grado,0,0,Abstracta;Geometria computacional;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Abstracta;Analisis estadistico;Cornerstone;Ecuaciones diferenciales;Fisica;Seminario de grado,0,0,Analisis numerico;Analisis real;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Electiva general;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis estadistico;Analisis numerico;Ecuaciones diferenciales;Fisica;Keystone;Seminario de grado,0,0,Abstracta;Analisis real;Cornerstone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Electiva general;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis estadistico;Analisis real;Cornerstone;Ecuaciones diferenciales;Electiva general;Keystone;Seminario de grado,3,0,Abstracta;Geometria computacional;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Fisica;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Analisis real;Cornerstone;Ecuaciones diferenciales;Fisica;Geometria computacional;Seminario de grado,0,0,Analisis estadistico;Keystone;Modelacion sis. dinamicos;Opcion de grado 1;Topologia,0,0,Abstracta;Analisis numerico;Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 2,3,0
Analisis estadistico;Analisis real;Ecuaciones diferenciales;Electiva general;Geometria computacional;Seminario de grado,3,0,Cornerstone;Fisica;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Abstracta;Analisis numerico;Capstone;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Analisis numerico;Cornerstone;Ecuaciones diferenciales;Fisica;Geometria computacional;Seminario de grado,0,0,Analisis estadistico;Analisis real;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Abstracta;Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis numerico;Ecuaciones diferenciales;Fisica;Geometria computacional;Keystone;Seminario de grado,0,0,Analisis estadistico;Analisis real;Cornerstone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Abstracta;Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis estadistico;Analisis real;Cornerstone;Ecuaciones diferenciales;Fisica;Seminario de grado,0,0,Abstracta;Keystone;Modelacion sis. dinamicos;Opcion de grado 1;Topologia,0,0,Analisis numerico;Capstone;Electiva general;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2,3,0
Analisis numerico;Analisis real;Ecuaciones diferenciales;Electiva general;Keystone;Seminario de grado,3,0,Abstracta;Cornerstone;Fisica;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis estadistico;Capstone;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Abstracta;Analisis estadistico;Analisis real;Ecuaciones diferenciales;Keystone;Seminario de grado,0,0,Cornerstone;Fisica;Modelacion sis. dinamicos;Opcion de grado 1;Topologia,0,0,Analisis numerico;Capstone;Electiva general;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2,3,0
Abstracta;Analisis estadistico;Cornerstone;Ecuaciones diferenciales;Electiva general;Seminario de grado,3,0,Analisis real;Fisica;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Abstracta;Analisis estadistico;Analisis real;Ecuaciones diferenciales;Geometria computacional;Seminario de grado,0,0,Cornerstone;Fisica;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis numerico;Analisis real;Ecuaciones diferenciales;Geometria computacional;Keystone;Seminario de grado,0,0,Analisis estadistico;Cornerstone;Fisica;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Abstracta;Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Cornerstone;Ecuaciones diferenciales;Fisica;Geometria computacional;Keystone;Seminario de grado,0,0,Abstracta;Analisis estadistico;Analisis real;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Abstracta;Analisis real;Cornerstone;Ecuaciones diferenciales;Geometria computacional;Seminario de grado,0,0,Analisis estadistico;Fisica;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Analisis estadistico;Cornerstone;Ecuaciones diferenciales;Fisica;Geometria computacional;Seminario de grado,0,0,Abstracta;Analisis real;Keystone;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Electiva general;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Abstracta;Analisis real;Ecuaciones diferenciales;Fisica;Keystone;Seminario de grado,0,0,Analisis estadistico;Cornerstone;Modelacion sis. dinamicos;Opcion de grado 1;Topologia,0,0,Analisis numerico;Capstone;Electiva general;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2,3,0
Analisis numerico;Cornerstone;Ecuaciones diferenciales;Electiva general;Geometria computacional;Seminario de grado,3,0,Analisis estadistico;Analisis real;Fisica;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Abstracta;Capstone;Keystone;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Analisis numerico;Cornerstone;Ecuaciones diferenciales;Fisica;Keystone;Seminario de grado,0,0,Abstracta;Analisis estadistico;Analisis real;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Electiva general;Geometria computacional;Modelacion sis. naturales;Opcion de grado 2;Topologia,3,0
Abstracta;Analisis estadistico;Analisis numerico;Ecuaciones diferenciales;Electiva general;Seminario de grado,3,0,Analisis real;Cornerstone;Fisica;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Capstone;Geometria computacional;Keystone;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
Analisis estadistico;Analisis real;Cornerstone;Ecuaciones diferenciales;Electiva general;Fisica;Seminario de grado,3,0,Abstracta;Geometria computacional;Modelacion sis. dinamicos;Opcion de grado 1,0,0,Analisis numerico;Capstone;Keystone;Modelacion sis. naturales;Opcion de grado 2;Topologia,0,0
